date,title,amount
2025-01-01,Multi Minas,43.98
2025-01-01,Supermercados Polyana,77.56
2024-12-31,Paulo Sergio Stauffer,30.00
2024-12-31,Sup Epa Cento e Oito,346.11
2024-12-31,Petlove*Pl*Order - Parcela 1/2,110.21
2024-12-29,Zitus Grill Churrascar,50.00
2024-12-27,Acai Concept Nanuque,20.83
2024-12-27,Posto Reunidas,78.34
2024-12-27,Euzeni Mota Aguiar,25.00
2024-12-25,Hna*Oboticario - Parcela 1/3,157.06
2024-12-25,Hiper Pao,31.56
2024-12-24,Massariol Teixeira,28.00
2024-12-24,Sup Epa Cento Cinquent,251.12
2024-12-24,Supermercados Polyana,161.70
2024-12-22,Jena S Burguer,17.00
2024-12-22,Bueno Espetos,85.35
2024-12-20,Teixeira e Chaves L,19.00
2024-12-20,Sup Epa Cento e Oito,89.96
2024-12-20,Paulo Sergio,30.00
2024-12-20,Padaria Sao Lourenco,4.19
2024-12-20,Posto Alianca,168.00
2024-12-19,Farmacia Indiana Nanuq,47.49
2024-12-17,Lara Ferreira de Vette,14.30
2024-12-17,Sup Epa Cento Cinquent,201.41
2024-12-16,"IOF de ""Openai *Chatgpt Subscr""",5.50
2024-12-16,Openai *Chatgpt Subscr,125.63
2024-12-14,Frisa Comercial,326.60
2024-12-14,Lojas Amigao,26.98
2024-12-14,Farmacia Sao Jose,12.25
2024-12-12,Nutri Bem,26.40
2024-12-12,Amazon - Parcela 1/7,55.02
2024-12-12,Amazonprimebr,19.90
2024-12-12,Paulo Sergio Stauffer,15.00
2024-12-12,Mega,34.00
2024-12-12,Nutre Bem - Parcela 1/2,50.00
2024-12-12,Farmacia Indiana Nanuq,131.99
2024-12-11,Sup Epa Cento e Oito,112.50
2024-12-11,Leite e Brito,14.00
2024-12-11,Supermercados Polyana,124.55
2024-12-10,Sup Epa Cento Cinquent,522.18
2024-12-10,Mp *Stelaverduras,26.00
2024-12-09,Farmacia Indiana Nanuq,100.06
2024-12-09,Supermercados Polyana,39.96
2024-12-08,Armazem Central,40.69
2024-12-08,Posto Reunidas,137.10
2024-12-08,Lojas Amigao,79.99
2024-12-07,Euzeni Mota Aguiar,35.00
2024-12-07,Paulo Sergio Stauffer,30.00
2024-12-07,Imperial,1980.00
2024-12-06,Pagamento recebido,-4061.96
2024-12-05,Armarinho Diamantino,24.00
2024-12-05,Nutri Bem,18.50
2024-12-05,Farmacia Indiana Nanuq - Parcela 1/6,88.55
2024-12-05,Nutri Bem,19.80
2024-12-05,Supermercados Polyana,85.97
2024-12-04,Sup Epa Cento Cinquent,40.29
2024-12-04,Sup Epa Cento e Oito,134.07
2024-12-03,Azul Seguro Auto - Parcela 6/10,210.19
2024-12-03,Payu *Adidas - Parcela 2/3,74.99
2024-12-03,Rdsaude Onli*Rd Saude - Parcela 3/3,54.58
2024-12-03,Petlove*Pl*Order - Parcela 2/2,110.20
